惜しい,おしい
怪しい,あやしい
嬉しい,うれしい
可笑しい,おかしい
悲しい,かなしい
厳しい,きびしい
悔しい,くやしい
苦しい,くるしい
詳しい,くわしい
険しい,けわしい
恋しい,こいしい
寂しい,さびしい
親しい,したしい
涼しい,すずしい
正しい,ただしい
楽しい,たのしい
激しい,はげしい
等しい,ひとしい
貧しい,まずしい
眩しい,まぶしい
優しい,やさしい
易しい,やさしい
新しい,あたらしい
勇ましい,いさましい
忙しい,いそがしい
恐ろしい,おそろしい
大人しい,おとなしい
騒がしい,さわがしい
頼もしい,たのもしい
懐かしい,なつかしい
恥ずかしい,はずかしい
難しい,むずかしい
珍しい,めずらしい
喧しい,やかましい
厚かましい,あつかましい
慌しい,あわただしい
羨ましい,うらやましい
かわいらしい,かわいらしい
憎らしい,にくらしい
図々しい,ずうずうしい
騒々しい,そうぞうしい
そそっかしい,そそっかしい
馬鹿らしい,ばからしい
甚だしい,はなはだしい
若々しい,わかわかしい
疑わしい,うたがわしい
煩わしい,わずらわしい
紛らわしい,まぎらわしい
悔しい,くやしい
恨めしい,うらめしい
懐かしい,なつかしい
嘆かわしい,なげかわしい
狂おしい,くるおしい
貧しい,まずしい
乏しい,とぼしい
甚だしい,はなはだしい
悩ましい,なやましい
卑しい,いやしい
慎ましい,つつましい
久しい,ひさしい
空しい,むなしい
見苦しい,みぐるしい
相応しい,ふさわしい
逞しい,たくましい
芳しい,かんばしい
麗しい,うるわしい
恭しい,うやうやしい
浅ましい,あさましい
夥しい,おびただしい
みすぼらしい,みすぼらしい
好ましい,このましい
目覚しい,めざましい
馴れ馴れしい,なれなれしい
汚らわしい,けがらわしい
望ましい,のぞましい
待ち遠しい,machiどおしい
うっとうしい ,うっとうしい
濃い,こい
薄い,うすい
厚い,あつい
浅い,あさい
深い,ふかい
暑い,あつい
寒い,さむい
熱い,あつい
緩い,ゆるい
荒い,あらい
美味い,うまい
偉い,えらい
遅い,おそい
早い,はやい
速い,はやい
長い,ながい
短い,みじかい
重い,おもい
軽い,かるい
硬い,かたい
痒い,かゆい
辛い,からい
塩辛い,しおからい
苦い,にがい
甘い,あまい
酸っぱい,すっぱい
渋い,しぶい
鋭い,するどい
きつい,きつい
温い,ぬるい
清い,きよい
臭い,くさい
暗い,くらい
煙い,けむい
凄い,すごい
狭い,せまい
広い,ひろい
低い,ひくい
安い,やすい
高い,たかい
近い,ちかい
遠い,とおい
強い,つよい
弱い,よわい
くどい,くどい
ずるい,ずるい
憎い,にくい
鈍い,にぶい
醜い,みにくい
辛い,つらい
面白い,おもしろい
鈍い,のろい
賢い,かしこい
ひどい,ひどい
太い,ふとい
細い,ほそい
まずい,まずい
丸い,まるい
若い,わかい
眠い,ねむい
危うい,あやうい
うるさい,うるさい
青白い,あおじろい
薄暗い,うすぐらい
蒸し暑い,むしあつい
物凄い,ものすごい
力強い,ちからづよい
面倒くさい,めんどうくさい
穏やかな,おだやか
朗らかな,ほがらか
なだらかな,なだらかな
爽やかな,さわやか
厄介な,やっかい
惨めな,みじめ
哀れな,あわれ
我がまま,わがまま
危ない,あぶない
いけない,いけない
幼い,おさない
少ない,すくない
済まない,すまない
下らない,くだらない
仕方がない,しかたがない
堪らない,たまらない
だらしない,だらしない
違いない,ちがいない
つまらない,つまらない
とんでもない,とんでもない
みっともない,みっともない
もったいない,もったいない
やむをえない,やむをえない
思いがけない,思いがけない
申し訳ない,申し訳ない
申し分ない,申し分ない
ありがたい,ありがたい
おめでたい,おめでたい
重たい,おもたい
冷たい,つめたい
細かい,こまかい
暖かい,あたたかい
温かい,あたたかい
柔らかい,やわらかい
軟らかい,やわらかい
くすぐったい,くすぐったい
平たい,ひらたい
煙たい,けむたい
眠たい,ねむたい
情けない,なさけない
切ない,せつない
素っ気ない,そっけない
呆気ない,あっけない
おっかない,おっかない
敵わない,かなわない
物足りない,ものたりない
