subject,content,level,sort,tag,category,sort,question,option1,option2,option3,option4,result
"＿＿＿のことばはどうよみますか。１２３４からいちばんいいものをひとつえらびなさい。","自分で旅行を計画するのは楽しいです。","N3","1",",1991,vocabulary,","","1","自分    ","１．じぶん    ","２．ちっぷん    ","３．じっぷん    ","４．ちぶん  ","A"
"","","","","","","2","旅行    ","１．りゅうこ    ","２．りょうこ    ","３．りょこう    ","４．りゅこう  ","C"
"","","","","","","3","計画    ","１．けいかく    ","２．けいが    ","３．けかく    ","４．けが  ","A"
"","","","","","","4","楽しい    ","１．うれしい    ","２．いそがしい    ","３．うつくしい    ","４．たのしい  ","D"
"","その学生は毎日地下鉄で大学に通っています。","N3","2",",1991,vocabulary,","","1","地下鉄    ","１．じげてつ    ","２．じかてつ    ","３．ちげてつ    ","４．ちかてつ  ","D"
"","","","","","","2","通って    ","１．とおって    ","２．かよって    ","３．かえって    ","４．いって  ","B"
"","姉がいつも食事の用意をしてくれます。","N3","3",",1991,vocabulary,","","1","姉    ","１．いもうと    ","２．おとうと    ","３．あね    ","４．あに  ","C"
"","","","","","","2","食事    ","１．しょくじ    ","２．しょうじ    ","３．そくじ    ","４．そうじ  ","A"
"","","","","","","3","用意    ","１．よい    ","２．ようい    ","３．よじ    ","４．ようじ  ","B"
"","電話代は夜の間と日曜日が安いです。","N3","4",",1991,vocabulary,","","1","電話代    ","１．でんわちん    ","２．でんわきん    ","３．でんわだい","４．でんわりょう  ","C"
"","","","","","","2","夜    ","１．ひる    ","２．よる    ","３．あさ    ","４．ばん  ","B"
"","","","","","","3","間    ","１．うち    ","２．ま    ","３．かん    ","４．あいだ  ","D"
"","","","","","","4","安い    ","１．あまい    ","２．うまい    ","３．ちかい    ","４．やすい  ","D"
"","この町の人口は去年より多くなりました。","N3","5",",1991,vocabulary,","","1","町    ","１．むら    ","２．まち    ","３．とし    ","４．へん  ","B"
"","","","","","","2","人口    ","１．じんこう    ","２．にんこう    ","３．にんごう    ","４．じんごう  ","A"
"","","","","","","3","去年    ","１．きょうねん    ","２．さくねん    ","３．さっねん    ","４．きょねん  ","D"
"","","","","","","4","多く    ","１．おそく    ","２．おもく    ","３．おおきく    ","４．おおく  ","D"
"","その店の主人はいつも着物を着ています。","N3","6",",1991,vocabulary,","","1","店    ","１．てん    ","２．こや    ","３．みせ    ","４．うち  ","C"
"","","","","","","2","主人    ","１．しゅじん    ","２．しゅうじん    ","３．しゅにん    ","４．しゅうにん  ","A"
"","","","","","","3","着物    ","１．おきもの    ","２．きもの","３．はきもの    ","４．かきもの  ","B"
"_______のことばは漢字をつかってどう書きますか。1・2・3・4からいちばんいいものを一つえらびなさい。 ","このへやはあかるくて ひろいので、しごとがしやすいです。","N3","7",",1991,vocabulary,","","1","へや    ","１．部屋    ","２．部室    ","３．戸屋    ","４．戸室  ","A"
"","","","","","","2","あかるくて    ","１．明るくて    ","２．早るくて    ","３．赤るくて    ","４．軽るくて  ","A"
"","","","","","","3","ひろい    ","１．青い    ","２．白い    ","３．広い    ","４．長い  ","C"
"","","","","","","4","しごと    ","１．作業    ","２．仕業    ","３．作事    ","４．仕事  ","D"
""," えきのばいてんでしんぶんをかいました。電車のせきがあいていなかったのでたったままよみました。","N3","8",",1991,vocabulary,","","1","えき    ","１．駅    ","２．験    ","３．駐    ","４．駆  ","A"
"","","","","","","2","ばいてん    ","１．買店    ","２．売店    ","３．購店    ","４．飯店  ","B"
"","","","","","","3","せき    ","１．度    ","２．座    ","３．庄    ","４．席  ","D"
"","","","","","","4","あいて    ","１．開いて    ","２．空いて    ","３．空いて    ","４．合いて  ","B"
"","","","","","","5","たった    ","１．足った    ","２．発った    ","３．立った    ","４．建った  ","C"
""," 音楽会は7時にはじまります。きゅうこう電車でいかなくてもまにあいますよ。","N3","9",",1991,vocabulary,","","1","はじまり    ","１．開まり    ","２．発まり    ","３．初まり    ","４．始まり  ","D"
"","","","","","","2","きゅうこう    ","１．早急    ","２．救急    ","３．急行    ","４．急走  ","C"
"","","","","","","3","まにあい    ","１．真に合い    ","２．間に合い    ","３．間に会い    ","４．真に会い  ","B"
"","毎日漢字を15ずつならいます。こくばんの字をちゅういしながらノートにうつします。","N3","10",",1991,vocabulary,","","1","ならい    ","１．習い    ","２．学い    ","３．慣い    ","４．覚い  ","A"
"","","","","","","2","ちゅうい    ","１．集合    ","２．集中    ","３．注意    ","４．注目  ","C"
"","","","","","","3","うつし    ","１．映し    ","２．写し    ","３．移し    ","４．画し  ","B"
"________のところに何を入れますか。1・2・3・4からいちばんいいものを一つえらびなさい。","","N3","11",",1991,vocabulary,","","1","シャツのうりばは、このうえの３がいです。あの_______でいってください。","１．ドア    ","２．タクシー    ","３．サンダル    ","４．エスカレーター  ","D"
"","","","","","","2","じゅぎょうがおわってから、まいにち、ピンポンの_______をします。","１．しゅみ    ","２．うんどう    ","３．れんしゅう    ","４．しゅうかん  ","C"
"","","","","","","3","私はじてんしゃを_______もっています。","１．にだい    ","２．にさい    ","３．にほん    ","４．にまい  ","A"
"","","","","","","4","このみずうみの_______はどのくらいですか。","１．ふかさ    ","２．あつさ    ","３．さむさ    ","４．おもさ  ","A"
