"遭う","TAO","あう","","Gặp","1426200","旅行中にホテルでに盗難に遭った。:Trong lúc đi du lịch đã gặp phải trộm ở khách sạn.<br>","N1","1",",newkanjimaster,lesson1,sub1,",""
"飼う","TỰ","かう","","Nuôi","13174200","犬を3匹飼っている。:Tôi đang nuôi 3 con chó.<br>","N1","2",",newkanjimaster,lesson1,sub1,",""
"沿う","DUYÊN","そう","","Dọc theo","08168200","線路が道に沿って続いている。:Đường ray chạy dọc theo con đường.<br>","N1","3",",newkanjimaster,lesson1,sub1,",""
"縫う","PHÙNG","ぬう","","May","1653200","この洋服は母が縫ってくれたものだ。:Bộ Âu phục này là cái mẹ tôi đã làm cho.<br>","N1","4",",newkanjimaster,lesson1,sub1,",""
"酔う","TÚY","よう","","Say","11221200","酒を飲み過ぎて酔ってしまった。:Uống nhiều rượu quá nên đã bị say.<br>","N1","5",",newkanjimaster,lesson1,sub1,",""
"奪う","ĐOẠT","うばう","","Chiếm đoạt, cướp giật","1410200","男はバッグを奪って逃げた。:Người đàn ông đoạt lấy túi chạy biến đi.<br>","N1","6",",newkanjimaster,lesson1,sub1,",""
"覆う","PHÚC","おおう","","Phủ","1825200","ソファーを美しい布を覆った。:Phủ vải đẹp lên sofa.<br>","N1","7",",newkanjimaster,lesson1,sub1,",""
"狂う","CUỒNG","くるう","","Lệch","07146200","予定が狂う。:Lệch dự định.<br>","N1","8",",newkanjimaster,lesson1,sub1,",""
"誘う","DỤ","さそう","","Mời","14112200","友達を映画に誘う。:Mời bạn đi xem phim.<br>","N1","9",",newkanjimaster,lesson1,sub1,",""
"誓う","THỆ","ちかう","","Hứa hẹn","14108200","彼女を必ず幸せにすると心に誓う。:Hứa với con tim là sẽ làm cho cô ấy hạnh phúc.<br>","N1","10",",newkanjimaster,lesson1,sub1,",""
"倣う","PHỎNG","ならう","","Bắt chước","1013200","経験がないので、前例に倣ってやってみた。:Vì không có kinh nghiệm nên sẽ bắt chước ví dụ cũ.<br>","N1","11",",newkanjimaster,lesson1,sub1,",""
"扱う","TRÁP","あつかう","","Sử dụng","0688200","危険物を扱う。:Sủ dụng đồ vật nguy hiểm.<br>","N1","12",",newkanjimaster,lesson1,sub1,",""
"従う","TÙNG","したがう","","Tuân theo","1065200","社長に従って視察に出かける。:Theo giám đốc đi thị sát bên ngoài công ty.<br>","N1","13",",newkanjimaster,lesson1,sub1,",""
